title,author,genre_id,genre,ISBN,description_aladin,description_naver,salesPoint,mallType
EBS 한국사 능력 검정시험 중급,"장종근, 최태성 (지은이)",166524,"국내도서>수험서/자격증>한국사능력검정시험>기본(4,5,6급)",9788954733380,총 29개의 중단원으로 구성되어 있고 약 400문항의 기출 및 예상문제로 한 달 안에 끝낼 수 있도록 구성한 교재이다. EBS대표집필진이 노하우를 녹여 선정한 핵심 개념과 핵심 문제로 한국사능력검정시험을 너끈히 합격하길 바란다.,,4650,BOOK
칼 비테의 자녀교육 불변의 법칙,"칼 비테 (지은이), 베스트트랜스 (옮긴이)",51786,국내도서>좋은부모>육아>육아법/육아 일반,9788991984998,독일에서뿐만 아니라 전 유럽이 주목했던 천재 학자 Jr. 칼 비테를 키운 아버지 칼 비테가 양육의 해법을 제시한 자녀교육서다. 그가 주목 받은 이후부터 아버지 칼 비테의 교육 사상은 전 세계적으로 인정받기에 이른다. 선천적으로 타고난 재능보다 중요한 것은 후천적으로 개발되는 잠재력. 부모가 이것을 키워 줄 수 있다는 주장과 함께 아이를 올바르게 교육하면 영재로 만들 수 있다는 칼 비테의 교육 이념에서 핵심만 가려 뽑았다.,,9569,BOOK
어제 뭐 먹었어? 9,요시나가 후미 (지은이),6130,국내도서>만화>순정만화>그 남자들의 사랑,9791131301517,&lt;서양골동양과자점&gt;의 작가 요시나가 후미의 신작. 미중년 변호사가 선사하는 일본가정요리의 진수를 보여준다. 더불어 요시나가 후미의 스페셜 요리 팁이 함께 수록되어 있다.,,1928,BOOK
조정래의 시선,조정래 (지은이),51371,국내도서>에세이>한국에세이,9788965744719,"'문학과 우리 역사 그리고 사회적인 긴급한 문제에 한해' 발언한다는 원칙을 문학인생 45년간 지켜온 조정래 작가가 인터뷰와 강연, 신문 칼럼 등에 공개한 의견을 엄선하고 미처 전달되지 않은 내용을 보충하여 정리한 산문집이다.",,1603,BOOK
덴마 Denma 1~3 박스세트 - 전3권,양영순 (지은이),7443,국내도서>만화>인터넷 연재 만화,9791157401000,"꼬마의 몸에 갇혀 정량의 우주 택배 임무를 수행하는 악당 ‘덴마’가 주인공이다. 이야기의 시작과 전개는 ‘덴마’로부터 나오지만 방대한 스케일의 우주와 그 공간을 채우는 이야기는 파마나, 하독 선장 등 우주를 오랫동안 살아온 이들과 함께이다.",,938,BOOK
눈먼 자들의 국가 - 세월호를 바라보는 작가의 눈,"김애란, 김행숙, 김연수, 박민규, 진은영, 황정은, 배명훈, 황종연, 김홍중, 전규찬, 김서영, 홍철기 (지은이)",51371,국내도서>에세이>한국에세이,9788954626071,"세월호를 추모하고 잊지 않고자 작가들이 써내려간 에세이. 이 책에 실려 있는 글들은 모두 세월호 참사 이후 출간된 계간 「문학동네」 2014년 여름호와 가을호에 게재된 것들이다. 김애란, 김행숙, 김연수, 박민규, 진은영, 황정은, 배명훈 등 모두 12명의 작가가 참여했다.",,11270,BOOK
스코치 트라이얼,"제임스 대시너 (지은이), 공보경 (옮긴이)",107436,국내도서>소설/시/희곡>액션/스릴러소설>외국 액션/스릴러소설,9788983924490,과거의 기억을 삭제당한 채 거대한 미로 속에 감금된 소년들의 생존과 탈출을 그린 소설 &lt;메이즈 러너&gt; 후속편. &lt;스코치 트라이얼&gt;에서 소년들은 끔찍한 미로에서 벗어나 마침내 평온한 삶으로 돌아왔다고 안도한 순간 폐허가 되어버린 지구와 대면한다.,,7898,BOOK
아내의 식탁 1 - 쉽게 만들고 예쁘게 즐기는 행복한 가정식 레시피,"홍진희, 정은정 (지은이)",53472,국내도서>요리/살림>생활요리,9788968330360,SNS 카카오 스토리의 「아내의 식탁」은 2014년 4월 첫 요리를 선보인 이후 8개월여 만에 85만 구독자의 사랑을 받는 요리 분야 1위의 인기 채널로 자리 잡았다. 구독자들은 「아내의 식탁」 덕분에 ‘오늘은 뭐 해먹지?’라는 영원한 숙제에 해답을 얻었다고 극찬을 아끼지 않는다.,,2100,BOOK
2017 Megastudy 메가스터디 동영상 기출외전 한국사 능력 검정시험 고급(1.2급) - 전 문항 해설 동영상 강의 탑재,메가북스 편집부 (엮은이),166525,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)",9791157610792,"기출로 단기에 끝내는 교재이다. 출제위원의 문제 출제 노하우, 출제 협의 과정을 토대로 시험에 나오는 개념, 자료를 철저한 기출 분석을 토대로 정리하였다. 시험에 한번이라도 출제된 주제를 92개 테마로 압축하여, 기출 440문항으로 한 달에 끝낼 수 있도록 하루 2시간 학습 분량으로 구성하였다.",,5557,BOOK
영단기 토익 RC - 토익 기초부터 실전까지 한 권으로 끝내는 기본서,정재현 (지은이),49854,국내도서>외국어>토익>Reading,9791156171058,"10년간의 기출유형을 분석한 다음, 최근 5년간의 유형을 다시 집중 분석하는 치밀한 분석과 연구를 거듭하여 토익에는 유형이 존재한다는 결론을 내리고 토익의 모든 문제를 유형별로 정확하고 손쉽게 풀 수 있는 핵심 전략이 모두 담겨 있다.",,5250,BOOK
시골빵집에서 자본론을 굽다 - 천연균과 마르크스에서 찾은 진정한 삶의 가치와 노동의 의미,"와타나베 이타루 (지은이), 정문주 (옮긴이)",51162,국내도서>사회과학>사회사상/사회사상사>마르크스주의>마르크스주의 일반,9788994418735,"일본 변방 가쓰야마의 작은 시골빵집 다루마리에서 일어난 소리없는 경제혁명 이야기를 다루고 있다. 빵집 다루마리에서 찾아낸 ‘부패하여 순환하는 경제’의 핵심은 발효와 순환, 이윤 남기지 않기, 빵과 사람 키우기, 이 4가지로, 이 모든 것을 지향하며 실천하고 있다.",,9811,BOOK
"국어 교과서 작품 읽기 중1 세트 (최신판, 전3권) (특별부록 : 국어 교과서 작품 읽기 100% 활용하기)","김규중, 왕지윤, 한은영 (엮은이)",36379,국내도서>청소년>중등교육과정,9788936459901,초판과 비교했을 때 60% 이상의 작품 교체가 이루어진 2013년 개정판이다. 2009 개정 교육과정에 따라 새로이 발표된 개정 교과서 16종 교과서에 실린 수백 편의 작품을 현직 국어 교사 9명이 꼼꼼히 읽고 분석해 작품을 엄선하였다.,,14615,BOOK
